127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001539
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000826
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000370
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000964
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000228
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001974
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001916
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000279
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003694
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002770
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001213
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000725
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001797
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002297
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001500
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000932
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000840
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001229
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000993
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/js/ajax_editor.js, HTTP/1.1, 200, 0.001047
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001225
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/js/typeahead.min.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2014-03-23 15:53:02, GET, /admin/static/_2.7.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000765
127.0.0.1, 2014-03-23 15:53:02, GET, /admin/static/_2.7.3/images/files_toggle.png, HTTP/1.1, 200, 0.000780
127.0.0.1, 2014-03-23 15:53:02, GET, /admin/default/edit/app1/models/db.py, HTTP/1.1, 200, 0.031915
127.0.0.1, 2014-03-23 15:53:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.120085
127.0.0.1, 2014-03-23 15:53:02, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000346
127.0.0.1, 2014-03-23 15:53:10, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.080842
127.0.0.1, 2014-03-23 15:53:12, GET, /app1/appadmin/index, HTTP/1.1, 200, 0.294116
127.0.0.1, 2014-03-23 15:53:12, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000532
127.0.0.1, 2014-03-23 15:53:14, GET, /app1/appadmin/select/db, HTTP/1.1, 200, 0.079743
127.0.0.1, 2014-03-23 15:53:14, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000550
127.0.0.1, 2014-03-23 15:53:37, GET, /app1/appadmin/index, HTTP/1.1, 200, 0.278018
127.0.0.1, 2014-03-23 15:53:39, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.196976
127.0.0.1, 2014-03-23 15:53:50, GET, /app1/default/index, HTTP/1.1, 200, 0.261412
127.0.0.1, 2014-03-23 15:53:50, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000565
127.0.0.1, 2014-03-23 15:53:55, GET, /app1/default/user/logout, HTTP/1.1, 303, 0.186370
127.0.0.1, 2014-03-23 15:53:55, GET, /app1/default/user/logout, HTTP/1.1, 303, 0.328937
127.0.0.1, 2014-03-23 15:53:55, GET, /app1/default/index, HTTP/1.1, 200, 0.058743
127.0.0.1, 2014-03-23 15:53:55, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000798
127.0.0.1, 2014-03-23 15:54:00, GET, /app1/default/user/login, HTTP/1.1, 200, 0.067335
127.0.0.1, 2014-03-23 15:54:00, GET, /app1/default/user/login, HTTP/1.1, 200, 0.354017
127.0.0.1, 2014-03-23 15:54:00, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000558
127.0.0.1, 2014-03-23 15:54:33, POST, /app1/default/user/login, HTTP/1.1, 303, 0.139222
127.0.0.1, 2014-03-23 15:54:33, GET, /app1/default/user/login, HTTP/1.1, 200, 0.062057
127.0.0.1, 2014-03-23 15:54:33, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000518
127.0.0.1, 2014-03-23 15:55:08, GET, /app1/default/index, HTTP/1.1, 200, 0.249998
127.0.0.1, 2014-03-23 15:55:08, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000514
127.0.0.1, 2014-03-23 15:55:11, GET, /admin/default/index, HTTP/1.1, 303, 0.004922
127.0.0.1, 2014-03-23 15:55:11, GET, /admin/default/site, HTTP/1.1, 200, 0.064724
127.0.0.1, 2014-03-23 15:55:15, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.191581
127.0.0.1, 2014-03-23 15:55:21, GET, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.040868
127.0.0.1, 2014-03-23 15:55:22, GET, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.029519
127.0.0.1, 2014-03-23 15:55:22, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.008626
127.0.0.1, 2014-03-23 15:58:15, POST, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.022210
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/default/documentation, HTTP/1.1, 200, 0.251293
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.025465
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.027626
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.025115
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.024925
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.022675
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.023303
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000533
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000636
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002152
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000944
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001964
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.001456
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003509
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.020735
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.019935
127.0.0.1, 2014-03-23 15:58:36, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000872
